id,nama
1,"Eka Mistiko Rini, S.Kom, M.Kom."
2,"Dedy Hidayat Kusuma, S.T., M.Cs."
3,"Farizqi Panduardi, S.ST., M.T."
4,"I Wayan Suardinata, S.Kom., M.T."
5,"Herman Yuliandoko, S.T., M.T."
6,"Vivien Arief Wardhany, S.T., M.T."
7,"Devit Suwardiyanto,S.Si., M.T."
8,"Moh. Nur Shodiq, S.T., M.T."
9,"Endi Sailul Haq, S.T., M.Kom."
10,"Subono, S.T., M.T."
11,"Mohamad Dimyati Ayatullah, S.T., M.Kom."
12,"Alfin Hidayat, S.T., M.T."
13,"Dianni Yusuf, S.Kom., M.Kom."
14,"Beby Dwi Febriyanti, M.Pd."
15,"Junaedi Adi Prasetyo, S.ST., M.Sc."
16,"Galih Hendra Wibowo, S.Tr.Kom., M.T."
17,"Lutfi Hakim, S.Pd., M.T."
18,"Sepyan Purnama Kristanto, S.Kom., M.Kom."
19,"Arum Andary Ratri, S.Si., M.Si."
20,"Indira Nuansa Ratri, S.M., M.SM."
21,"Ruth Ema Febrita, S.Pd., M.Kom."
22,"Agus Priyo Utomo, S.ST., M.Tr.Kom."
23,"Lukman Hakim S.Kom., M.T"
24,"Khoirul Umam, S.Pd, M.Kom"
25,"Septa Lukman Andes, S.AB., M.AB."
26,"Arif Fahmi, S.T., M.T."
27,"Eka Novita Sari, S. Kom., M.Kom."
28,"Furiansyah Dipraja, S.T., M.Kom."
29,"Indra Kurniawan, S.T., M.Eng."
30,"Mega Devita Sari, S.E., M.A."
31,"Siska Aprilia Hardiyanti, S.Pd., M.Si"